product_id,name,url,price,original_price,discount,rating,review_count,seller_name,seller_tier,location,source,category
12504138534,TEAM T-CREATE EXPERT (2x16) 32GB DDR5 kit 6400Mhz Memory RAM,https://www.tokopedia.com/gasol-kaliurang/team-t-create-expert-2x16-32gb-ddr5-kit-6400mhz-memory-ram-putih-08ff9,9460000,9465000,0,5.0,0,GASOL KALIURANG,2,Malang,tokopedia,ram
102542846878,"Infinix Xbook B14 SERIES AMD ryzen 5 7535hs Ram 16gb DDR5 SSD 512gb Windows 11 14.0"" WUXGA IPS",https://www.tokopedia.com/agresidbogor/infinix-xbook-b14-series-amd-ryzen-5-7535hs-ram-16gb-ddr5-ssd-512gb-windows-11-14-0-wuxga-ips-1733150201828967855,8866532,0,0,5.0,0,AGRES ID BOGOR,2,Bogor,tokopedia,ram
12768959744,MSI PRO B650M-B AM5 DDR5 AMD,https://www.tokopedia.com/cockomputer/msi-pro-b650m-b-am5-ddr5-amd-1731242202422740101,2113000,0,0,5.0,0,COC Komputer,2,Jakarta Pusat,tokopedia,ram
6515368211,G.Skill Memory RAM Trident Z5 RGB DDR5 5600 MHz CL40 32GB (16GBx2) F5-5600J4040C16GX2-TZ5RK,https://www.tokopedia.com/myclub/g-skill-memory-ram-trident-z5-rgb-ddr5-5600-mhz-cl40-32gb-16gbx2-f5-5600j4040c16gx2-tz5rk,10591000,10690000,0,5.0,0,Myclub id,2,Jakarta Utara,tokopedia,ram
16419136169,PC Build AMD Ryzen 9 9950X | 32GB DDR5 | X870 | 2TB GEN4 NVME | GEFORCE RTX 5080 16GB DDR7| GAMING EDITING RENDER,https://www.tokopedia.com/gamingpcstore/pc-build-amd-ryzen-9-9950x-32gb-ddr5-x870-2tb-gen4-nvme-geforce-rtx-4090-24gb-ddr6x-gaming-editing-render-1730994195895583909,66250000,0,0,5.0,0,STAR17 COM,2,Jakarta Selatan,tokopedia,ram
100254982040,TeamGroup DELTA RGB ECO 32GB (2x16GB) 6400MHz CL38 DDR5 RAM PC,https://www.tokopedia.com/star-seventeen-com/teamgroup-delta-rgb-eco-32gb-2x16gb-6400mhz-cl38-ddr5-ram-pc-1731012338382243717,9949000,0,0,5.0,0,STAR SEVENTEEN COM,2,Jakarta Selatan,tokopedia,ram
10447569746,G.SKILL / GSKILL RIPJAWS S5 DDR5 48GB (2X24GB) 6000Mhz KIT,https://www.tokopedia.com/toko-expert-komputer/g-skill-gskill-ripjaws-s5-ddr5-48gb-2x24gb-6000mhz-kit,12942000,0,0,5.0,0,Toko Expert Komputer,2,Jakarta Pusat,tokopedia,ram
100723602708,BIWIN M350 M.2 PCIe NVMe SSD Gen 4x4 - 1000GB 1TB,https://www.tokopedia.com/gamingpcstore/biwin-m350-m-2-pcie-nvme-ssd-gen-4x4-1000gb-1tb-1731868540752528549,3250000,0,0,5.0,0,STAR17 COM,2,Jakarta Selatan,tokopedia,ssd
11547282335,Lexar SSD NM710 M.2 NVMe 2280 PCIe Gen4x4 - 1TB,https://www.tokopedia.com/eaonlineofficial/lexar-ssd-nm710-m-2-nvme-2280-pcie-gen4x4-1tb,3388000,0,0,5.0,0,EAONLINE,2,Jakarta Barat,tokopedia,ssd
12348756126,WEstern Digital WD BLACK SN850X NVMe 1TB PCie 4.0 M.2 2280 - Resmi,https://www.tokopedia.com/gamingpcstore/western-digital-wd-black-sn850x-nvme-1tb-pcie-4-0-m-2-2280-resmi-1729974386148279461,4299000,0,0,5.0,0,STAR17 COM,2,Jakarta Selatan,tokopedia,ssd
